Student1,7.8
Student2,9.3
Student3,2.6
Student4,5.5
Student5,2.3
Student6,2.6
Student7,1.5
Student8,6.6
Student9,4.3
Student10,5.3
Student11,5.5
Student12,8.1
Student13,9.8
Student14,5.1
Student15,9.2
Student16,4.9
Student17,9.8
Student18,8.6
Student19,8.3
Student20,2.4
Student21,10
Student22,3.2
Student23,1.3
Student24,2.5
Student25,4.7
Student26,1.5
Student27,3.9
Student28,4.1
Student29,9.5
Student30,1.1
Student31,0.7
Student32,6.2
Student33,0.2
Student34,2.5
Student35,8
Student36,7.3
Student37,5.6
Student38,8.3
Student39,9.2
Student40,0.8
Student41,9.4
Student42,4.1
Student43,3.4
Student44,8.6
Student45,6.1
Student46,0.5
Student47,8
Student48,9.9
Student49,1.9
Student50,8.5
Student51,1.9
Student52,8.1
Student53,2.7
Student54,3.2
Student55,1.2
Student56,9.8
Student57,3.9
Student58,8.4
Student59,4.8
Student60,3.3
Student61,2.2
Student62,7.8
Student63,1.4
Student64,7.2
Student65,9.6
Student66,7.3
Student67,0.5
Student68,2.3
Student69,1.3
Student70,3.4
Student71,4.9
Student72,8.8
Student73,0.1
Student74,1.4
Student75,4.8
Student76,7.5
Student77,8.7
Student78,9.8
Student79,0.2
Student80,4.8
Student81,5.9
Student82,3.6
Student83,6.1
Student84,1.7
Student85,1.8
Student86,1
Student87,0.2
Student88,8
Student89,0.2
Student90,0.3
Student91,8
Student92,4.8
Student93,3.1
Student94,5.9
Student95,6.3
Student96,3.7
Student97,9.7
Student98,5.5
Student99,7.2
Student100,2.6
Student101,7.3
Student102,8.7
Student103,4.4
Student104,9.3
Student105,3.5
Student106,1.2
Student107,1.2
Student108,2.6
Student109,5.3
Student110,8.2
Student111,7
Student112,5.2
Student113,9
Student114,7.8
Student115,6.2
Student116,4.5
Student117,6.3
Student118,5.8
Student119,3.6
Student120,1.1
Student121,7.1
Student122,2.4
Student123,7.2
Student124,4.3
Student125,8.6
Student126,4
Student127,6.6
Student128,2.5
Student129,5.6
Student130,5.1
Student131,0.2
Student132,2.7
Student133,8.6
Student134,3.6
Student135,4.7
Student136,2.9
Student137,3.3
Student138,6
Student139,3.2
Student140,5.6
Student141,8.9
Student142,0.1
Student143,1.9
Student144,5.2
Student145,4.4
Student146,7.8
Student147,4.6
Student148,2.4
Student149,5.9
Student150,9.9
Student151,8
Student152,3.5
Student153,0.3
Student154,2.5
Student155,0.6
Student156,7.5
Student157,7.5
Student158,1.9
Student159,4
Student160,9
Student161,3.7
Student162,5.2
Student163,2.1
Student164,9.4
Student165,8.7
Student166,2.4
Student167,9.4
Student168,2.2
Student169,8.4
Student170,8
Student171,5.4
Student172,3.9
Student173,9.9
Student174,3.9
Student175,0.1
Student176,2.9
Student177,5.7
Student178,1.5
Student179,3.3
Student180,8.3
Student181,7.4
Student182,4.6
Student183,9.6
Student184,3.9
Student185,0.7
Student186,9.6
Student187,7.9
Student188,6.1
Student189,3.4
Student190,7.5
Student191,9
Student192,0.8
Student193,2
Student194,4.9
Student195,9.8
Student196,7.8
Student197,3.8
Student198,0.3
Student199,5.1
Student200,2
Student201,6.6
Student202,5.2
Student203,9.7
Student204,5.9
Student205,7.2
Student206,6.3
Student207,6.7
Student208,5.7
Student209,9.9
Student210,7.1
Student211,6.7
Student212,5.4
Student213,7
Student214,1.4
Student215,6.9
Student216,5.5
Student217,4.9
Student218,3.2
Student219,4.6
Student220,4.7
Student221,2.1
Student222,7.1
Student223,8.4
Student224,5.9
Student225,7.4
Student226,9.8
Student227,4.9
Student228,6.1
Student229,8.7
Student230,0.8
Student231,5.7
Student232,5.9
Student233,1.9
Student234,1.2
Student235,8.8
Student236,9.7
Student237,1.6
Student238,3.6
Student239,6.7
Student240,1
Student241,5.5
Student242,5.3
Student243,5
Student244,3.3
Student245,7.4
Student246,2.7
Student247,6.5
Student248,3.3
Student249,8
Student250,7
Student251,3.9
Student252,4.8
Student253,4.7
Student254,3.1
Student255,5.7
Student256,8.9
Student257,1.7
Student258,6.5
Student259,5.3
Student260,4.5
Student261,3.1
Student262,0
Student263,6.9
Student264,7.8
Student265,3.9
Student266,2.7
Student267,7
Student268,0
Student269,2.4
Student270,8.1
Student271,3.8
Student272,8.2
Student273,9
Student274,2.6
Student275,6.2
Student276,4.6
Student277,9.5
Student278,2.6
Student279,2.8
Student280,9.3
Student281,8.6
Student282,9.8
Student283,2.1
Student284,5.9
Student285,1.1
Student286,2.6
Student287,0
Student288,2.4
Student289,3.5
Student290,5.2
Student291,4.2
Student292,0.3
Student293,8.2
Student294,0.1
Student295,1.4
Student296,6.6
Student297,7.1
Student298,9.2
Student299,7.7
Student300,1.7
Student301,8.6
Student302,1.1
Student303,7.6
Student304,5.4
Student305,5.3
Student306,8.2
Student307,8.8
Student308,4.2
Student309,2.1
Student310,8.8
Student311,8.2
Student312,9.6
Student313,8.2
Student314,2.7
Student315,3.6
Student316,5.3
Student317,4.4
Student318,1.9
Student319,0.3
Student320,2.5
Student321,9.6
Student322,1.7
Student323,8.4
Student324,8.9
Student325,2.2
Student326,8.5
Student327,0.8
Student328,5
Student329,6.3
Student330,4.4
Student331,7.5
Student332,4
Student333,8.6
Student334,6.4
Student335,7.6
Student336,6.5
Student337,1.3
Student338,9.6
Student339,4.8
Student340,9.7
Student341,6.8
Student342,2.4
Student343,4.3
Student344,3
Student345,8.2
Student346,8.7
Student347,3.7
Student348,5.8
Student349,0.3
Student350,1.9
Student351,1.3
Student352,3.8
Student353,9
Student354,5.9
Student355,5.7
Student356,3
Student357,2.8
Student358,0.1
Student359,5.5
Student360,7.3
Student361,3.3
Student362,5.7
Student363,3.7
Student364,9.1
Student365,1.6
Student366,0.3
Student367,6.7
Student368,0.8
Student369,9.2
Student370,1.5
Student371,1.8
Student372,9.9
Student373,6.2
Student374,1.5
Student375,4
Student376,8.5
Student377,3
Student378,3.5
Student379,9.2
Student380,3.4
Student381,3.3
Student382,3.8
Student383,5.2
Student384,5.4
Student385,4.7
Student386,6.7
Student387,2.7
Student388,5.5
Student389,5.7
Student390,9.3
Student391,2.4
Student392,8.4
Student393,3.9
Student394,1.7
Student395,3.9
Student396,2.7
Student397,8.9
Student398,1.8
Student399,2.3
Student400,4.2
Student401,9
Student402,3.7
Student403,5.5
Student404,3.2
Student405,1.4
Student406,3.7
Student407,7.7
Student408,6
Student409,4.7
Student410,2.1
Student411,2.6
Student412,4.1
Student413,1.5
Student414,5.6
Student415,3.3
Student416,9.7
Student417,2
Student418,1
Student419,2.3
Student420,1.1
Student421,4.7
Student422,1.5
Student423,2.5
Student424,8.8
Student425,2.7
Student426,9.4
Student427,6.2
Student428,9.7
Student429,9.4
Student430,3.4
Student431,5.1
Student432,5.9
Student433,1.9
Student434,7.3
Student435,9.5
Student436,5.3
Student437,6.5
Student438,4.8
Student439,1.9
Student440,9
Student441,3.7
Student442,6.5
Student443,5.9
Student444,9.3
Student445,6.8
Student446,6.8
Student447,6.4
Student448,0.4
Student449,5.6
Student450,4.8
Student451,3
Student452,1
Student453,7.8
Student454,0
Student455,6.5
Student456,5.9
Student457,4.3
Student458,0.6
Student459,8.9
Student460,8
Student461,3.7
Student462,9.3
Student463,9.4
Student464,8.8
Student465,2.9
Student466,3.9
Student467,4.9
Student468,3.8
Student469,1.3
Student470,3.4
Student471,2.1
Student472,2.6
Student473,5.8
Student474,5.5
Student475,3.2
Student476,8
Student477,3.7
Student478,5.9
Student479,2
Student480,6.5
Student481,8
Student482,9.1
Student483,4.4
Student484,8.8
Student485,7.3
Student486,8.1
Student487,3.6
Student488,7.3
Student489,9.1
Student490,6.3
Student491,8
Student492,4
Student493,7.9
Student494,7.5
Student495,8.5
Student496,3.7
Student497,5.4
Student498,9.4
Student499,7
Student500,6.5
Student501,0.3
Student502,4.2
Student503,8.3
Student504,6
Student505,3
Student506,4.3
Student507,4.8
Student508,5.9
Student509,5.9
Student510,8.2
Student511,6.2
Student512,7.8
Student513,7.2
Student514,5.4
Student515,5.3
Student516,3.4
Student517,3.3
Student518,2.7
Student519,5.7
Student520,5.8
Student521,9.2
Student522,1.1
Student523,9.1
Student524,6.5
Student525,2.9
Student526,4.9
Student527,1.5
Student528,4.2
Student529,9.6
Student530,1.5
Student531,4.8
Student532,4
Student533,8
Student534,9.8
Student535,7.4
Student536,5.6
Student537,8.4
Student538,0.3
Student539,4.5
Student540,7.6
Student541,2.7
Student542,2.9
Student543,1.4
Student544,7.2
Student545,0.9
Student546,2.7
Student547,3.2
Student548,7.8
Student549,6
Student550,4.7
Student551,7.5
Student552,2.4
Student553,5
Student554,6.3
Student555,6.2
Student556,2.5
Student557,3.6
Student558,1.1
Student559,0.9
Student560,7.5
Student561,9.8
Student562,1.7
Student563,3
Student564,4.5
Student565,4.3
Student566,3.4
Student567,9
Student568,2.6
Student569,2.6
Student570,4.8
Student571,5.7
Student572,2.5
Student573,7.8
Student574,9.1
Student575,6.3
Student576,2
Student577,2.1
Student578,4.5
Student579,2.3
Student580,7.7
Student581,4.4
Student582,7.5
Student583,8.3
Student584,8.2
Student585,4.2
Student586,1.7
Student587,9.4
Student588,6.3
Student589,1.2
Student590,8.2
Student591,7.3
Student592,0.9
Student593,6.6
Student594,6.6
Student595,4.7
Student596,6.4
Student597,2.6
Student598,3.2
Student599,1.5
Student600,6.7
Student601,4.8
Student602,6.7
Student603,7.8
Student604,3.5
Student605,5.6
Student606,0.6
Student607,3.3
Student608,8.2
Student609,4.2
Student610,7.6
Student611,3.7
Student612,2.7
Student613,8.3
Student614,0.2
Student615,2.7
Student616,1.7
Student617,5.3
Student618,6.2
Student619,7
Student620,0.4
Student621,5.2
Student622,5.2
Student623,3.1
Student624,2.4
Student625,4.7
Student626,9
Student627,4.8
Student628,9.4
Student629,1.6
Student630,0.2
Student631,0.6
Student632,4.8
Student633,4
Student634,0
Student635,7.4
Student636,4.8
